,RA,DEC,z
0,153.072967,22.399593,0.021778
1,168.351102,18.044718,0.021778
2,166.766284,48.944858,0.021778
3,173.992177,55.42860699999999,0.021778
4,152.303979,-0.960096,0.022711000000000002
5,176.515242,44.336619,0.022711000000000002
6,236.732818,18.819206,0.021678
7,191.98009199999998,11.509468,0.022026
8,196.277369,10.228056,0.021121
9,260.86546400000003,61.654322,0.021121
10,231.819118,17.073441,0.021121
11,258.844695,59.009112,0.022049000000000003
12,183.380971,55.264341,0.022049000000000003
13,240.109539,12.81428,0.022049000000000003
14,132.859562,10.27282,0.022049000000000003
15,158.60376499999998,23.977168,0.023112999999999998
16,27.206505,14.366992000000002,0.021734
17,230.106552,9.382749,0.021734
18,170.350027,1.829522,0.021734
19,140.03977,39.877184,0.021472
20,195.517047,41.677276,0.022666
21,181.54721899999998,42.269502,0.022666
22,125.00623799999998,10.703674000000001,0.023565
23,243.28367000000003,12.117111,0.021255
24,196.098726,28.786241999999998,0.021255
25,208.936824,12.660362,0.020909
26,137.474511,61.395013,0.020909
27,190.133585,18.991031,0.020546000000000002
28,178.21776100000002,-3.714867,0.020546000000000002
29,185.994238,58.515189,0.021103999999999998
30,220.87851400000002,-1.354306,0.021467
31,192.466704,-2.93622,0.021467
32,140.35291,48.984553999999996,0.020204
33,190.762715,24.869359,0.020415
34,167.262594,33.206724,0.020415
35,159.990385,2.139925,0.020378
36,222.37289500000003,6.472935,0.020378
37,133.392745,59.568639000000005,0.020378
38,338.896632,14.030616,0.02069
39,128.341718,55.231368999999994,0.020464
40,212.848111,23.631701,0.020464
41,148.315273,38.542116,0.020464
42,152.43217099999998,24.531866,0.020603
43,195.628472,30.857418,0.020028999999999998
44,245.175519,24.021156,0.020028999999999998
45,163.374129,19.725008,0.020416
46,140.401759,11.122311999999999,0.022125
47,188.475658,63.93934399999999,0.022125
48,336.72485,-7.754453,0.028197000000000003
49,234.24785,34.94143,0.026307
50,137.28966,53.093465,0.026307
51,211.072353,-2.28091,0.028331
52,198.53941799999998,28.024415,0.028331
53,145.406234,4.374549,0.028331
54,189.461958,23.468063,0.029702
55,202.847578,56.13864399999999,0.023396
56,348.30478700000003,-0.749109,0.023897
57,118.72936399999999,23.308321,0.023703000000000002
58,198.106171,2.648298,0.020309
59,131.175486,7.052849,0.020309
60,41.37144,-8.938216,0.020309
61,157.609039,13.350802,0.021144999999999997
62,144.591658,64.834701,0.021144999999999997
63,187.75413600000002,54.046701,0.020654
64,183.460051,47.494365,0.021782
65,135.26761399999998,26.566845,0.021782
66,128.89463999999998,3.60975,0.021093
67,153.465586,12.607319,0.021093
68,225.198298,17.03049,0.022265
69,168.672226,40.131771,0.022265
70,234.909297,22.997478,0.022265
71,248.36942200000001,17.604807,0.022516
72,355.22357999999997,15.293926,0.023786
73,182.84379099999998,23.500669,0.024207
74,124.004272,26.977404999999997,0.024207
75,119.577823,46.014472999999995,0.024372
76,185.700642,7.695156,0.024094
77,125.93491100000001,42.957755999999996,0.024875
78,159.95767800000002,6.455488,0.024875
79,234.89355,16.592476,0.024589
80,170.32791,25.553698999999998,0.024589
81,182.972353,20.345675,0.024589
82,38.373847999999995,-9.521360000000001,0.024253
83,156.196495,49.752244,0.024441
84,202.920683,29.953657,0.025775
85,250.500089,22.480856,0.024789
