 94.55  46.06  22.79
 98.81 117.14  90.27
  3.05  46.11  22.31
 81.25 138.70  36.94
105.34  98.12  42.25
 23.64  39.95 105.36
 16.11  82.65  51.49
136.45 109.63  77.42
122.84  63.42   9.55
 39.89  80.51  12.16
110.77 122.96  37.33
 14.47  80.88  48.45
 92.86 121.41 102.92
136.10  53.81  97.29
100.89   9.47 108.02
 71.96  82.50 109.93
126.29  87.58 112.79
 53.40 110.04  99.15
106.86 100.26  60.81
 24.97  67.96 115.28
134.06   8.33  35.82
 64.51   6.94  78.54
 74.11 119.11 106.71
  9.62   7.76  44.58
 14.53  79.37  49.30
141.16 109.44  70.32
 84.90 120.39  84.66
 81.89  86.69  36.15
 91.83  49.95 132.29
 64.75 110.65 117.55
 81.54  83.39  95.22
109.86 106.21  76.95
 76.13 107.09 108.36
 81.25  32.55   6.59
130.73  94.45  21.24
 61.45 120.07  61.77
 61.51 123.37  72.63
 37.81 107.19   8.36
118.57  98.25  80.56
106.81  78.38 122.15
 49.78  26.21  50.44
 18.81   7.64  60.41
 40.91  35.84  31.30
125.27 118.06  51.48
116.85  67.54  67.24
 42.55  83.02  64.06
126.37  31.96  93.43
 42.24  36.40  31.63
115.05  97.91 139.96
 92.84  31.30 102.24
 12.92  32.52  12.50
130.34  39.86 124.85
137.85  53.80  60.11
 58.68  43.26  85.14
 22.03 107.89  19.37
101.11  42.26  31.09
 50.25 124.96   0.36
 76.23 101.28  68.47
 59.95  40.98 116.95
 61.07  15.85  82.05
126.63  76.79  54.11
137.95 103.76 113.22
 70.19  88.11  64.87
121.43  48.28  20.74
108.53   0.62  26.25
 75.71 106.53  19.96
 64.67 115.62  85.45
134.34 127.65  70.15
 22.31  16.62  34.48
 56.92  70.78 133.48
 36.98   1.04  76.58
 97.50  48.95   7.63
128.70  57.38  62.56
 78.13 123.52  99.41
 29.85  15.74 102.17
 20.64  86.81  44.02
 24.01 100.62  87.43
100.36 137.59  82.52
134.18  23.44  26.06
 99.41  32.77 126.26
 92.35  46.08  48.61
 43.84 103.96  23.58
102.53  48.40   9.03
120.74  96.84  81.73
 99.55  32.65 103.82
  2.37   6.74  62.74
 52.81  76.27  17.80
 50.95 124.09   0.22
109.38 107.88  77.01
 36.79  19.49  26.39
108.98  61.14 115.41
130.17  19.96 121.11
 64.74  51.77  90.58
130.32  59.92  60.92
 79.87 127.78  92.40
 51.58 122.65  27.62
 17.66  62.38 103.10
 69.62 119.34 111.08
 10.88   8.73  74.00
  6.90  43.32   7.33
 94.27 135.75  96.35
138.76  15.13  23.48
 38.12  67.90  68.31
 81.41 138.81  37.42
126.69 136.87  26.07
 42.77  23.86  86.78
 86.89 139.00  77.35
 66.29 127.58  37.68
 53.67 126.82 102.20
 32.36  70.95  97.44
 46.29  25.56 134.43
 62.31  33.39 136.75
 75.32  63.79  43.94
 75.29 117.51  83.69
133.39  82.45  62.38
102.26  61.68  98.41
 72.61  97.05  71.84
 78.95 123.59  96.82
 98.21  26.16  61.18
111.64 124.87 113.06
 77.76  77.05  51.56
119.05  84.71  60.78
 77.19  39.01  33.42
123.44  84.60  62.33
